To type (below)  / From type (right),electricity,coal,natural gas,biomass,petroleum diesel,heat,crude oil,heavy or residual fuel oil,LPG propane or butane,hydrogen
electricity,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
coal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
natural gas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
biomass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
petroleum diesel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
crude oil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
heavy or residual fuel oil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LPG propane or butane,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
hydrogen,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
