Unit: dimensionless (fraction of potential achieved),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulp paper and printing 17T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refined petroleum and coke 19,0.014498158,0.019115621,0.025954048,0.031771739,0.037312739,0.042952455,0.048152854,0.048753122,0.055046193,0.060750431,0.067293411,0.074017176,0.0800007,0.086112258,0.091440779,0.097386974,0.096268594,0.095340909,0.095227873,0.094417343,0.094639683,0.094301019,0.094101229,0.094036832,0.093600436,0.093253838,0.093775312,0.093465427,0.093171464,0.093209791,0.092366394
chemicals 20,0.005259722,0.009870579,0.013565156,0.01707582,0.01993206,0.0228211,0.025641125,0.044829457,0.069045813,0.09242221,0.114533394,0.135574403,0.155492235,0.174479945,0.19132502,0.206921551,0.200877694,0.19777956,0.195030644,0.192583797,0.190273377,0.188086344,0.185728878,0.18247196,0.179467894,0.175922134,0.173284956,0.170987131,0.168443012,0.165159993,0.162026769
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cement and other nonmetallic minerals 239,0,0.001790097,0.003657954,0.005497545,0.007288191,0.009029682,0.010810374,0.015613913,0.033013497,0.050142272,0.067019871,0.083628587,0.099945861,0.116027893,0.131956524,0.146798333,0.14496411,0.14361718,0.142294796,0.140979556,0.139625437,0.138260117,0.136937291,0.135648367,0.134363571,0.13307045,0.131811055,0.130555542,0.129318898,0.128090481,0.126869186
iron and steel 241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other metals 242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other machinery 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
road vehicles 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other manufacturing 31T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy pipelines and gas processing 352T353,0.081658524,0.086307992,0.088828079,0.088423244,0.086754527,0.085275232,0.087550002,0.089142023,0.091438957,0.091635696,0.092173198,0.094039361,0.095724029,0.097880973,0.099715703,0.101566763,0.100656387,0.098794984,0.097610849,0.096280513,0.095087006,0.09473038,0.094728364,0.094253635,0.093589598,0.093393812,0.093713256,0.093716695,0.093971998,0.094522709,0.094647848
water and waste 36T39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
construction 41T43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
