Year,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),2.31979E+14,2.27657E+14,2.26264E+14,2.25228E+14,2.24353E+14,2.21122E+14,2.16325E+14,2.11213E+14,2.06358E+14,2.01983E+14,1.98091E+14,1.94684E+14,1.91841E+14,1.89533E+14,1.87788E+14,1.86587E+14,1.85872E+14,1.85648E+14,1.85830E+14,1.86443E+14,1.87129E+14,1.87924E+14,1.88790E+14,1.89708E+14,1.90617E+14,1.91590E+14,1.92594E+14,,
coal (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
natural gas (BTU),2.15572E+14,2.13294E+14,2.15464E+14,2.17496E+14,2.19433E+14,2.19189E+14,2.18614E+14,2.18173E+14,2.17951E+14,2.17532E+14,2.17511E+14,2.17798E+14,2.18007E+14,2.18036E+14,2.18023E+14,2.17928E+14,2.17787E+14,2.17533E+14,2.17293E+14,2.17001E+14,2.16645E+14,2.16159E+14,2.15473E+14,2.14640E+14,2.13771E+14,2.12958E+14,2.12279E+14,,
petroleum diesel (BTU),7.52906E+12,7.07616E+12,6.70569E+12,6.31129E+12,5.93652E+12,5.57427E+12,5.26791E+12,5.00399E+12,4.78940E+12,4.61912E+12,4.50005E+12,4.42547E+12,4.34286E+12,4.25762E+12,4.16996E+12,4.08117E+12,3.99145E+12,3.89949E+12,3.80696E+12,3.71406E+12,3.62098E+12,3.52715E+12,3.43406E+12,3.34228E+12,3.25256E+12,3.16639E+12,3.08583E+12,,
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
biomass (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LPG propane or butane (BTU),1.25340E+13,1.28865E+13,1.29774E+13,1.31106E+13,1.32172E+13,1.30639E+13,1.28702E+13,1.26667E+13,1.24759E+13,1.23015E+13,1.21639E+13,1.20618E+13,1.19426E+13,1.18080E+13,1.16628E+13,1.15078E+13,1.13499E+13,1.11921E+13,1.10405E+13,1.08927E+13,1.07476E+13,1.06016E+13,1.04513E+13,1.02979E+13,1.01454E+13,9.99881E+12,9.86255E+12,,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
