Year,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),9.87042E+13,1.11214E+14,1.05719E+14,1.05827E+14,1.05973E+14,1.05761E+14,1.05099E+14,1.04233E+14,1.03369E+14,1.02555E+14,1.01702E+14,1.00866E+14,1.00073E+14,9.92253E+13,9.84175E+13,9.75797E+13,9.67333E+13,9.58483E+13,9.50492E+13,9.42793E+13,9.34639E+13,9.27037E+13,9.18776E+13,9.09656E+13,9.00630E+13,8.91960E+13,8.83112E+13,,
coal (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
natural gas (BTU),5.19242E+14,5.82816E+14,5.47620E+14,5.69552E+14,5.66052E+14,5.59252E+14,5.50944E+14,5.42136E+14,5.33932E+14,5.25825E+14,5.18211E+14,5.10813E+14,5.03878E+14,4.96838E+14,4.90144E+14,4.83583E+14,4.77261E+14,4.71022E+14,4.65489E+14,4.60306E+14,4.55453E+14,4.50864E+14,4.46109E+14,4.41120E+14,4.36193E+14,4.31347E+14,4.26665E+14,,
petroleum diesel (BTU),7.09882E+13,7.95090E+13,7.64796E+13,7.56678E+13,7.44736E+13,7.31964E+13,7.20416E+13,7.08682E+13,6.97537E+13,6.86532E+13,6.76414E+13,6.66453E+13,6.56898E+13,6.47630E+13,6.38711E+13,6.30122E+13,6.21645E+13,6.13243E+13,6.05200E+13,5.97267E+13,5.89590E+13,5.82009E+13,5.74590E+13,5.67143E+13,5.59743E+13,5.52386E+13,5.45294E+13,,
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
biomass (BTU),6.68388E+13,6.94190E+13,6.40944E+13,6.26157E+13,6.19082E+13,6.14875E+13,6.04918E+13,5.96959E+13,5.89994E+13,5.84702E+13,5.77813E+13,5.71650E+13,5.64508E+13,5.57192E+13,5.49911E+13,5.41977E+13,5.33722E+13,5.25745E+13,5.18470E+13,5.11466E+13,5.04825E+13,4.99023E+13,4.93423E+13,4.88398E+13,4.83789E+13,4.79587E+13,4.75028E+13,,
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LPG propane or butane (BTU),5.66824E+13,7.05655E+13,6.78743E+13,6.37768E+13,6.32869E+13,6.24490E+13,6.14157E+13,6.02290E+13,5.90564E+13,5.79411E+13,5.69207E+13,5.59777E+13,5.50977E+13,5.42500E+13,5.34332E+13,5.26386E+13,5.18890E+13,5.11872E+13,5.05651E+13,5.00094E+13,4.95068E+13,4.90393E+13,4.85763E+13,4.80884E+13,4.75931E+13,4.70980E+13,4.66135E+13,,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
