Unit: dimensionless (share of fuel by industrial process),heat below 100 C,heat 100 to 200 C,heat 200 to 500 C,heat 500 to 1000 C,heat above 1000 C,Cooling,Machine Drive,Other process,Facility HVAC,Facility Lighting,Other Nonprocess
agriculture and forestry 01T03,1,0,0,0,0,0,0,0,0,0,0
coal mining 05,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0.076923077,0.252136752,0.532051282,0.138888889,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,0.233333333,0.255555556,0.511111111,0,0,0,0,0,0,0,0
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0
wood products 16,0.117647059,0.294117647,0.588235294,0,0,0,0,0,0,0,0
pulp paper and printing 17T18,0.346666667,0.204444444,0.415555556,0.033333333,0,0,0,0,0,0,0
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0
chemicals 20,0,0,0,0,0,0,0,0,0,0,0
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0
cement and other nonmetallic minerals 239,0.043956044,0,0.042124542,0.210622711,0.703296703,0,0,0,0,0,0
iron and steel 241,0,0,0,0,0,0,0,0,0,0,0
other metals 242,0,0,0,0,0,0,0,0,0,0,0
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0
other machinery 28,0,0,0,0,0,0,0,0,0,0,0
road vehicles 29,0,0,0,0,0,0,0,0,0,0,0
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0
other manufacturing 31T33,0.325581395,0.069767442,0.174418605,0.174418605,0.255813953,0,0,0,0,0,0
energy pipelines and gas processing 352T353,0,0,0,0,0,0,1,0,0,0,0
water and waste 36T39,1,0,0,0,0,0,0,0,0,0,0
construction 41T43,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
EPS fuel type,,,,,,,,,,,
biomass if,,,,,,,,,,,
